avg_milk;avg_thi3;avg_precspring
12,2;66,08;184,4
14,6;66,78;184,08
15,17;63,49;116,96
12,03;65,96;154,72
12,83;67,35;112,93
17,57;64,25;168,2
10,3;53,62;89,56
17,74;59,92;124,87
9,67;65,7;136,24
12,77;67,27;114,93
14,6;63,75;170,07
17,75;59,34;87,69
9,8;63,72;160,46
13,67;67,86;132,93
15,3;63,57;166,01
14,83;64,02;177,83
11,8;52,82;54,2
19,65;51,89;118,26
12,2;64,03;143,31
12,7;60,92;141,57
24,3;59,32;71,54
9,33;67,03;166,59
12,67;58,32;149,45
15,37;62,14;173,06
12,77;61,83;166,71
10,17;68,26;130,72
15,23;66,42;172,4
22,74;56,42;132,58
13,37;66,27;184,68
13,53;63,02;174,98
17,93;66,94;114,07
16,83;60,84;178,66
21,42;53,9;161,17
15,57;63,2;197,4
11,97;63,87;124,6
18,4;57,16;140,03
11,73;65,61;153,86
17,37;65,75;218,68
15,13;62,94;47,55
18,93;59,83;156,34
21,4;68,21;142,94
13,16;55,27;142,29
21,86;58,57;136,51
7,4;55,04;165,2
11,17;65,3;113,59
16,66;53,72;107,69
12,37;59,82;151,74
13,87;61,96;169,72
13,73;54,75;118,08
13,97;59,73;169,34
11,93;61,55;62,47
13,97;64,9;179,51
19,8;59,46;129,87
19,31;56,6;180,28
19,18;54,32;115,33
11,87;63,73;157,54
17,97;63,47;187,32
22,99;57,79;110,54
17,57;55,19;170,18
12,2;52,41;149,2
13,8;53,91;104,43
13,07;61,42;189,46
12;58,87;136,03
20,53;64,41;134,55
24,67;52,48;194,69
18,24;54,79;176,48
14,4;68,07;170,23
11,23;61,16;108,65
12,23;61,92;85,06
18,8;65,82;118,72
15,78;54,31;92,43
16,67;69,12;144,27
22,43;60,34;109,93
20,73;59,19;183,57
14,98;52,54;117,26
12,93;62,18;186,9
18,84;58,32;111,65
16,93;52,64;147,41
14,65;68,14;176,53
17,33;53,76;127,63
13,9;57,42;176,33
21,2;54,72;126,2
24,81;57,58;61,28
15,83;58,6;166,17
18,1;64,42;185,52
23,3;51,07;171,01
16,2;60,58;182,31
16,33;63,76;113,68
19,08;51,21;99,02
16,77;60,25;176,97
18,8;68,26;158,75
16,57;61,71;163,75
17,97;55,3;101,65
14,13;61,55;120,78
13,73;60,94;190,97
18,63;52,61;126,55
16,13;58,79;172,83
15,13;63,51;135,49
10,37;65,07;175,5
18,5;56,55;181,79
16;64,14;189,31
16,43;66,1;163,72
13,03;61,58;141,02
11,03;64,31;206,85
16,66;55,46;112,93
14,7;59,24;135,86
10,4;51,85;152,09
20,63;58,01;125,18
12,5;59,08;177,57
14,17;61,38;195,49
10,1;60,04;106,3
17,97;63,07;187,85
12,2;62,38;160,1
20,69;59,57;134,36
17,61;50,66;92,89
22,11;57,45;102,07
16,44;55,79;156,05
23,53;52,14;139,73
14,6;58,6;166,17
8,8;60,14;232,83
22,36;51,74;121,7
11,17;59,96;137,1
14,53;58,88;161,64
22,4;58,97;154,93
19,03;53,53;216,64
10,87;61,85;145,01
14,03;59,74;156,66
15,32;59,51;98,27
15,18;54,89;195,23
12,37;67,59;163,15
22,37;58,75;181,62
14,4;61,57;121,29
23,66;57,35;79,58
15,03;59,29;186,28
10,27;56,51;136,13
16,03;57,99;115,35
20,44;53,87;110,35
19,07;61,97;122,75
15,1;59,05;140,22
18,7;#REF!;145,34
14,43;59,17;163,21
14,27;67,24;96,92
17,72;50,13;132,96
23,82;55,53;179,39
18,1;66,37;152,09
19,13;60,92;207,62
18,38;55,53;132,29
12,63;64,4;133,71
18,6;58,47;160,77
11,87;52,26;144,88
11,43;60,73;186,46
10,83;61,01;161,91
17,6;60,5;169,56
7,27;67,8;126,67
15,7;64,12;158,99
16,93;65,99;175,07
16,9;53,07;92,09
18,91;53,02;126,8
9,2;64,38;58,52
10,97;61,39;177,5
14,47;62,06;154,17
19,88;52,59;99,28
23,37;54,44;157,3
16,07;61,33;118,79
10,83;54,44;177,43
12,03;57,33;134,15
20,73;53,89;157,69
12,43;62,6;159,82
18,04;53,07;98,2
9,27;60,86;111,48
17,87;60,16;101,87
15,57;57,08;172,77
13,77;67,26;162,49
11,13;65,74;155,61
13,13;60,17;172,53
11,87;53,76;177,61
19,51;59,33;121,21
15,2;60,78;258,53
12,07;60,41;178,15
12,97;61,9;109,05
19,86;54,48;119,14
20,07;59,2;137,65
16,9;61,89;169,83
17,36;53,57;159,81
22,83;53,29;119,75
16,93;60;165,57
14,13;54,88;124,87
13,07;62,95;144,31
17,79;55,64;94,88
8,97;58,36;193,67
17,53;58,74;142,55
17,47;59,87;127,96
15,38;57,35;134,47
11,47;57,08;74,1
16,2;62,61;209
12,87;69,27;157,06
17,16;53,59;121,36
12,83;69,09;133,07
15,9;66,74;163,96
18,25;51,46;137,49
20,93;54,85;137,39
20,68;55,16;100,65
17;51,36;127,45
12,93;60,33;221,03
18,61;55,51;120,73
16,1;58,4;116,46
20,83;62,61;167,23
21,93;58,75;174
17,4;56,43;126,58
14,4;61,75;122,57
23,13;65,27;160,16
12,9;55,16;192,54
16,2;58,84;92,48
13,27;64,99;160,96
12,73;66,4;176,24
20,59;51,66;89,07
11,37;56,27;71,11
10,03;51,92;129,94
15,6;59,19;126,27
13,37;65,88;168,72
13,13;64,44;148,11
16,7;63,63;134,49
18,37;67,56;164,45
17,97;66,26;133,72
18,76;53,01;111,59
16,23;54,68;104,1
14,87;64,52;168,59
16,57;61,97;170,04
11,77;60,1;141,67
15,95;56,35;86,92
13,27;69,96;220,01
12,33;60,11;163,97
13,5;63,79;107,64
12,7;59,94;135,21
9,67;67,57;172,59
20,87;58,7;111,34
15,27;62,82;148,33
20,82;53,13;116,87
14,43;62,63;225,65
15,2;65,53;146,17
17,47;57,77;103,7
22,18;52,52;116,88
12,33;64,94;132,17
15,03;61,47;89,99
17,07;66,49;157,23
13,6;57,32;188,68
21,97;64,02;172,34
11,8;60,12;127,38
12;61,18;131,33
16,23;58,85;157,54
14,75;58,27;154,02
12,37;63,5;99,34
13,43;63,19;138,49
14,53;60,84;170,57
14,13;62,36;126,88
15,53;62,28;174
17,93;65,64;177,86
19,69;56,74;142,26
19,16;54,33;149,63
14,23;64,03;218,52
17,93;64,17;166,76
13,83;55,44;50,84
17,13;64,98;204,31
12,13;61,44;209,41
21,81;55,63;119,42
12,93;60,33;221,03
14,01;58,61;144,58
16,83;63,28;138,54
13,93;63,18;161,36
16,4;66,07;91,4
12,67;63,36;181,84
12;65,16;126,6
10,77;67,26;162,49
23,5;64,72;143,33
16,17;64,71;153,86
18,97;60,05;104,52
22,54;52,72;94,3
11,43;66,24;65,41
13,23;62,6;184,17
9,67;59,17;210,42
22,33;55,98;163,68
18,6;60,97;173,06
17,76;55,87;119,85
13,83;62,6;144,4
20,53;58,34;88,81
11,3;64,92;157,89
8,3;59,64;193,33
16,69;51,51;133,97
6,9;56,57;114,43
20,46;55,63;105,43
12,23;66,95;174,98
13;61,73;133,61
14,43;55,66;132,5
12,77;64,37;145,48
12,1;63,3;173,96
16,46;60,52;121,84
17,5;62,2;154,84
12,9;60,78;146,22
13,76;61,81;97,09
14,57;58,9;204,86
13,6;61,97;157,43
12,87;65,9;258,53
20,27;61,63;187,93
19,79;58,08;146,24
15,9;65,71;145,3
11,77;63;123,52
10,73;61,51;154,65
8,27;54,88;124,87
12,63;57,46;149,21
13,03;57,31;135,34
18,23;53,44;138,98
24,17;53,33;148,77
15,73;57,54;126,61
11,73;63,75;154,61
12,93;55,37;220,67
11,7;64,01;163,97
18,41;54,77;123,95
17,07;60,27;147,41
17,2;66,86;171,04
23,54;56,08;53,66
14,97;57;125,67
18,4;64,08;221,18
17,66;57,68;117,69
14,97;57,26;230,91
9,63;63,32;167,36
19,97;65,62;97,11
23,17;63,8;154,88
22,13;64,57;176,85
24,64;55,63;110,87
6,07;56,9;112,15
12,03;61,43;153,02
13,73;64,02;148,96
13,73;52,04;146
19,43;61,83;144,85
13,57;62,1;166,73
11;62,44;117,26
13,9;61,03;134,68
5,5;65,95;125,32
16,73;58,72;129,07
10,67;57,49;121,29
23,42;58,51;101,62
21,27;53,81;111,73
18,1;50,74;117,62
12,4;60,08;169,34
